koaza_name,oaza_name,city
字東原,若狭野町入野,相生市
字栗信,若狭野町入野,相生市
字池之内,若狭野町入野,相生市
字入鹿渕,若狭野町入野,相生市
字横山,若狭野町入野,相生市
字池田,若狭野町入野,相生市
字ノイトコ,若狭野町入野,相生市
字入鹿渕,若狭野町入野,相生市
字京野尾,若狭野町入野,相生市
字大谷,若狭野町入野,相生市
字一ノ谷,若狭野町入野,相生市
字廣土田,若狭野町入野,相生市
字長尾,若狭野町入野,相生市
字岩ノ木筋,矢野町釜出,相生市
字安森筋,矢野町釜出,相生市
字定シ筋,矢野町釜出,相生市
字前田筋,矢野町釜出,相生市
字西筋,矢野町釜出,相生市
字東筋,矢野町釜出,相生市
字岩井谷筋,矢野町釜出,相生市
字大谷筋,矢野町釜出,相生市
字岩ノ木筋,矢野町釜出,相生市
字安森筋,矢野町釜出,相生市
字西筋,矢野町釜出,相生市
字岩ノ木筋,矢野町釜出,相生市
字定シ筋,矢野町釜出,相生市
字東筋,矢野町釜出,相生市
字前田筋,矢野町釜出,相生市
字大谷筋,矢野町釜出,相生市
字岩井谷筋,矢野町釜出,相生市
字向イ南,矢野町上,相生市
字向イ西,矢野町上,相生市
字向イ東,矢野町上,相生市
字ナベコ,矢野町上,相生市
字向イ筋,矢野町上,相生市
字稗田西,矢野町上,相生市
字稗田東,矢野町上,相生市
字畑田,矢野町上,相生市
字上所,矢野町上,相生市
字上所中,矢野町上,相生市
字久保筋,矢野町上,相生市
字ナベコノ南,矢野町上,相生市
字ナベコノ中,矢野町上,相生市
字ナベコノ北,矢野町上,相生市
字中郷,矢野町上土井,相生市
字セト田,矢野町上土井,相生市
字石ケ元,矢野町上土井,相生市
字雨ケ池,矢野町上土井,相生市
字釜治,矢野町上土井,相生市
字土井ノ内,矢野町上土井,相生市
字前田,矢野町上土井,相生市
字堂畑,矢野町上土井,相生市
字垣之内,矢野町上土井,相生市
字先足,矢野町上土井,相生市
字山田,矢野町上土井,相生市
字河原畑ケ,矢野町上土井,相生市
字釜ケ谷,矢野町上土井,相生市
字荷谷,矢野町上土井,相生市
字土井ノ内,矢野町上土井,相生市
字山田,矢野町上土井,相生市
字中山,矢野町上土井,相生市
字下垣内,矢野町金坂,相生市
字前垣内,矢野町金坂,相生市
字南谷,矢野町金坂,相生市
字北谷,矢野町金坂,相生市
字ヲコ谷,矢野町金坂,相生市
字前垣内,矢野町金坂,相生市
字佛ケ峠,矢野町金坂,相生市
字南谷,矢野町金坂,相生市
字藪ケ尾,矢野町金坂,相生市
字イチロザコ,矢野町金坂,相生市
字大谷,矢野町金坂,相生市
字北谷,矢野町金坂,相生市
字陣場山,陸,相生市
字東汐見塚,陸,相生市
字前田,陸,相生市
字コヤ波引,陸,相生市
字稗田,陸,相生市
字西原,陸,相生市
字堂ノ本,陸,相生市
字畑ケ田,陸,相生市
字鍛冶屋垣内,陸,相生市
字東岡,陸,相生市
字尾名志,陸,相生市
字玉野田井,陸,相生市
字早稲普光沢,陸,相生市
字大塚ハザ,陸,相生市
字西岡,陸,相生市
字上ノ山,陸,相生市
字向イ垣内,陸,相生市
字向イ山,陸,相生市
字小松原,陸,相生市
字横尾,陸,相生市
字上ノ山,陸,相生市
字京正原谷,陸,相生市
字池ノ上,陸,相生市
字池ノ上,陸,相生市
字西汐見塚,陸,相生市
字東汐見塚,陸,相生市
字構谷,陸,相生市
字尾名志,陸,相生市
字京正原谷,陸,相生市
字ナル之内,陸,相生市
字秀谷,陸,相生市
字ナル,陸,相生市
字大平,陸,相生市
字勝田谷,陸,相生市
字ヌタガ谷,陸,相生市
字東谷,陸,相生市
字楠谷,陸,相生市
字市後谷,陸,相生市
字光明山,陸,相生市
字森サ,矢野町真広,相生市
字前田,矢野町真広,相生市
字西所,矢野町真広,相生市
字弐町田,矢野町真広,相生市
字ナカスカ,矢野町真広,相生市
字洗足,矢野町真広,相生市
字甲西山,矢野町真広,相生市
字乙西山,矢野町真広,相生市
字丙西山,矢野町真広,相生市
字丁西山,矢野町真広,相生市
字戊西山,矢野町真広,相生市
字神子谷,矢野町真広,相生市
字東山,矢野町真広,相生市
字大地谷,矢野町真広,相生市
字前谷,矢野町三濃山,相生市
字大門,矢野町三濃山,相生市
字正面谷,矢野町三濃山,相生市
字大東,矢野町三濃山,相生市
字大下モ,矢野町三濃山,相生市
字長通り,矢野町三濃山,相生市
字東谷,矢野町三濃山,相生市
字出免,矢野町三濃山,相生市
字向イノ後,矢野町三濃山,相生市
字西谷,矢野町三濃山,相生市
字前田,矢野町森,相生市
字和田,矢野町森,相生市
字向田,矢野町森,相生市
字寺谷,矢野町森,相生市
字神田,矢野町森,相生市
字宮ノ上,矢野町森,相生市
字中山,矢野町森,相生市
字乙東山,矢野町森,相生市
字甲東山,矢野町森,相生市
字西山,矢野町森,相生市
字柊木,那波,相生市
字浜田,那波,相生市
字新田,那波,相生市
字上ノ山,那波,相生市
字川尻,那波,相生市
字大嶋,那波,相生市
字浜筋,那波,相生市
字西新田,那波,相生市
字岡野臺,那波,相生市
字鉄炮山,那波,相生市
字大避,那波,相生市
字西出口,那波,相生市
字煙亡ケ潟,那波,相生市
字圓山,那波,相生市
字西矢ノ谷,那波,相生市
字東矢ノ谷,那波,相生市
字柿ノ木谷,那波,相生市
字嶽ケ平,那波,相生市
字塩谷,那波,相生市
字赤面谷,那波,相生市
字乳母ケ懐,那波,相生市
字落矢ケ谷,那波,相生市
字野井床,那波,相生市
字袋地,那波,相生市
字池尻,那波,相生市
字木場,那波,相生市
字鍋崎,那波,相生市
字馬通,那波,相生市
字小才ケ谷,那波,相生市
字深辺,那波,相生市
字西上道,那波,相生市
字奥ノ寺,那波,相生市
字弥六垣内,那波,相生市
字宮山,那波,相生市
字大谷,那波,相生市
字古宮,那波,相生市
字末道,那波,相生市
字大平,那波,相生市
字垣ノ内,那波,相生市
字西山下,那波,相生市
字東山下,那波,相生市
字城谷,那波,相生市
字中新田,那波,相生市
字向ヒ,那波,相生市
字竜泉,那波,相生市
字豆木谷,那波,相生市
字岩崎,那波,相生市
字横尾,那波,相生市
字烏帽子岩,那波,相生市
字中ノ谷,那波,相生市
字池ケ谷,那波,相生市
字梨ノ木,那波,相生市
字上野ケ谷,那波,相生市
字境ケ谷,那波,相生市
字今池ノ下,那波野,相生市
字月ノ和田,那波野,相生市
字竹ノ下,那波野,相生市
字春ノ木,那波野,相生市
字大道越,那波野,相生市
字陣場山,那波野,相生市
